Variable 1,Variable 2,Correlation
age_residual_mean_mcar_baseline,age_adjusted_mean_mcar_baseline,0.999984493
age_residual_mean_mcal_baseline,age_adjusted_mean_mcal_baseline,0.999969749
co2_baseline,co2_base,0.999250078
gait_walk_1_distance_m,gait_walk_1_speed_m_s,0.989865165
siteo_mn_siteo_hr_mean,standeo_mn_mean_hr_standeo,0.977142117
gait_walk_2_distance_m,gait_walk_2_speed_m_s,0.973821319
mean_mcar_siteo,mean_mcar_standeo,0.968541885
diast_mcar_baseline,mean_mcar_baseline,0.96654565
gait_walk_1_distance_m,gait_walk_2_distance_m,0.962758325
syst_mcar_baseline,mean_mcar_baseline,0.962611115
gait_walk_1_speed_m_s,gait_walk_2_distance_m,0.959869287
mean_mcar_baseline,age_residual_mean_mcar_baseline,0.956042586
mean_mcar_baseline,age_adjusted_mean_mcar_baseline,0.954845211
gait_walk_1_speed_m_s,gait_walk_2_speed_m_s,0.948964741
mean_bp_siteo,mean_bp_standeo,0.938780471
gait_walk_1_distance_m,gait_walk_2_speed_m_s,0.933476706
syst_mcar_baseline,age_residual_mean_mcar_baseline,0.932283955
mean_mcal_siteo,mean_mcal_standeo,0.93148897
syst_mcar_baseline,age_adjusted_mean_mcar_baseline,0.931077243
co2_reactivity_baseline_2_hypo_mcal,co2_reactivity_baseline_2_hypo_mcar,0.9296783
hrv_rmssd,hrv_pnn50,0.918072021
diast_mcar_baseline,age_residual_mean_mcar_baseline,0.917061746
diast_mcar_baseline,age_adjusted_mean_mcar_baseline,0.915962404
mean_mcal_baseline,mean_mcal_tilt,0.9152966
mean_mcar_baseline,mean_mcar_tilt,0.914533177
sbp_supine_rebreathing,mbp_supine_rebreathing,0.895040817
dbp_baseline,dbp_hv,0.894573078
co2_reactivity_baseline_2_hyper_mcal,co2_reactivity_baseline_2_hyper_mcar,0.88847324
mean_mcal_baseline,age_residual_mean_mcal_baseline,0.88754315
syst_mcar_baseline,mean_mcar_tilt,0.887353973
mean_mcal_baseline,age_adjusted_mean_mcal_baseline,0.88662923
baseline_mean_hr_bp_baseline,hypo_mn_hr_supine_rebreathing,0.884056122
dbp_supine_rebreathing,mbp_supine_rebreathing,0.876976114
diast_mcar_baseline,mean_mcar_tilt,0.872312243
syst_mcar_baseline,diast_mcar_baseline,0.866127118
dbp_tilt,mbp_tilt,0.860342604
syst_mcar_baseline,mean_mcar_supine_rebreathing,0.857321498
mean_mcal_baseline,mean_mcal_siteo,0.85549759
mean_mcar_tilt,age_residual_mean_mcar_baseline,0.855290761
mean_mcar_tilt,age_adjusted_mean_mcar_baseline,0.853669597
dbp_baseline,mbp,0.848866948
24hour_daytime_dbp,24hour_nighttime_dbp,0.844655514
dbp_hv,mbp_hv,0.837336317
mean_mcar_baseline,mean_mcar_supine_rebreathing,0.826631136
mbp,mbp_hv,0.820688656
mean_mcal_baseline,mean_mcal_hv,0.818196753
mean_mcar_supine_rebreathing,age_residual_mean_mcar_baseline,0.818115428
mean_mcar_supine_rebreathing,age_adjusted_mean_mcar_baseline,0.816977941
mean_mcal_baseline,mean_mcal_supine_rebreathing,0.815745024
tilt_mn_hr_tilt,hypo_mn_hr_supine_rebreathing,0.810275721
sbp_baseline,sbp_hv,0.807484692
sbp_tilt,mbp_tilt,0.80741382
24hour_daytime_sbp,24hour_nighttime_sbp,0.804334191
mean_mcar_baseline,mean_mcar_hv,0.803906719
sbp_hv,mbp_hv,0.799364813
co2_reactivity_mcar,co2_reactivity_baseline_2_hyper_mcar,0.79806022
diast_mcar_baseline,mean_mcar_hv,0.796936317
hrv_rmssd,hrv_hf,0.79633778
hrv_sdnn,hrv_rmssd,0.794582723
mean_mcal_supine_rebreathing,age_residual_mean_mcal_baseline,0.790360102
mean_mcal_supine_rebreathing,age_adjusted_mean_mcal_baseline,0.789042516
dbp_hv,dbp_supine_rebreathing,0.782904986
sbp_baseline,sbp_tilt,0.78119708
baseline_mean_hr_bp_baseline,tilt_mn_hr_tilt,0.776742461
hrv_sdnn,hrv_sdann,0.776282434
mean_mcal_hv,mean_mcal_siteo,0.770582925
mean_mcal_baseline,mean_mcal_standeo,0.770422302
mean_mcar_tilt,mean_mcar_hv,0.768378015
hrv_avnn,hrv_sdnn,0.767177316
mean_mcal_tilt,age_residual_mean_mcal_baseline,0.763888506
mean_mcal_tilt,age_adjusted_mean_mcal_baseline,0.762647692
sbp_baseline,mbp,0.761790586
mean_mcar_tilt,mean_mcar_supine_rebreathing,0.76167409
mean_mcal_tilt,mean_mcal_hv,0.760520331
mean_mcal_tilt,mean_mcal_siteo,0.760469261
mean_mcal_tilt,mean_mcal_supine_rebreathing,0.759939435
mean_mcar_supine_rebreathing,co2_reactivity_mcar,0.759750485
co2_reactivity_mcar,co2_reactivity_baseline_2_hyper_mcal,0.759273869
mbp,mbp_tilt,0.759249863
syst_mcar_baseline,co2_reactivity_mcar,0.758743711
mean_mcar_hv,age_residual_mean_mcar_baseline,0.753189664
mbp,dbp_hv,0.752882302
mean_mcar_hv,age_adjusted_mean_mcar_baseline,0.752443771
sbp_hv,sbp_supine_rebreathing,0.750984125
syst_mcar_baseline,mean_mcar_hv,0.747689693
hrv_sdann,hrv_lf,0.743211628
diast_mcar_baseline,mean_mcar_supine_rebreathing,0.742204567
co2_supine_rebreathing,co2_hypo_pct,0.739621775
age_adjusted_mean_mcar_baseline,age_adjusted_mean_mcal_baseline,0.731769104
age_residual_mean_mcal_baseline,age_adjusted_mean_mcar_baseline,0.731711741
age_residual_mean_mcar_baseline,age_adjusted_mean_mcal_baseline,0.730913092
age_residual_mean_mcar_baseline,age_residual_mean_mcal_baseline,0.730877907
sbp_tilt,sbp_hv,0.726025076
mean_mcal_siteo,age_residual_mean_mcal_baseline,0.723468467
mean_mcal_siteo,age_adjusted_mean_mcal_baseline,0.721794354
age_residual_mean_mcar_baseline,co2_reactivity_mcar,0.718586854
age_adjusted_mean_mcar_baseline,co2_reactivity_mcar,0.718246282
sbp_tilt,24hour_daytime_sbp,0.712174489
mean_mcar_baseline,co2_reactivity_mcar,0.709791014
hrv_sdnn,hrv_pnn50,0.708832609
mbp_hv,mbp_supine_rebreathing,0.706223436
dbp_baseline,dbp_tilt,0.704342403
dbp_tilt,dbp_hv,0.691125564
mbp_tilt,mbp_hv,0.690195791
mean_mcar_supine_rebreathing,mean_mcal_supine_rebreathing,0.688696877
mbp_tilt,mean_bp_siteo,0.686483944
mean_mcal_hv,mean_mcal_standeo,0.685523495
mean_mcar_hv,mean_mcar_supine_rebreathing,0.682801651
dbp_tilt,dbp_supine_rebreathing,0.682473791
syst_mcar_baseline,mean_mcar_siteo,0.682194632
hrv_avnn,hrv_rmssd,0.681690718
mean_mcar_baseline,mean_mcar_siteo,0.680882498
mean_mcal_hv,mean_mcal_supine_rebreathing,0.680398161
dbp_baseline,dbp_supine_rebreathing,0.678822525
dbp_baseline,mbp_hv,0.678516522
syst_mcar_baseline,mean_mcal_baseline,0.675640509
mean_mcar_tilt,mean_mcar_siteo,0.675469432
o2_base,o2_hyper_pct,-0.671649746
mbp_hv,dbp_supine_rebreathing,0.669507258
mean_mcal_hv,age_residual_mean_mcal_baseline,0.667960836
mean_mcal_hv,age_adjusted_mean_mcal_baseline,0.666014214
mean_mcar_baseline,mean_mcal_baseline,0.665164245
24hour_nighttime_sbp,24hour_nighttime_dbp,0.665116994
mean_mcal_baseline,co2_reactivity_baseline_2_hyper_mcal,0.664033565
syst_mcar_baseline,mean_mcar_standeo,0.659438639
mean_mcal_supine_rebreathing,mean_mcal_siteo,0.658496032
age_adjusted_mean_mcal_baseline,co2_reactivity_baseline_2_hyper_mcal,0.655926011
mean_mcar_baseline,mean_mcar_standeo,0.655902986
mean_mcal_standeo,age_residual_mean_mcal_baseline,0.654754644
age_residual_mean_mcal_baseline,co2_reactivity_baseline_2_hyper_mcal,0.654683297
hrv_sdnn,hrv_hf,0.653958271
sbp_baseline,24hour_daytime_sbp,0.653610395
mean_mcal_standeo,age_adjusted_mean_mcal_baseline,0.653315154
mean_mcal_baseline,age_residual_mean_mcar_baseline,0.650899664
mean_mcal_baseline,age_adjusted_mean_mcar_baseline,0.650067202
sbp_baseline,sbp_supine_rebreathing,0.6474646
sbp_baseline,24hour_nighttime_sbp,0.645226002
co2_hv,co2_hyper_pct,0.644595608
mean_mcar_siteo,age_residual_mean_mcar_baseline,0.641603907
mean_mcar_baseline,co2_reactivity_baseline_2_hyper_mcal,0.641001791
age_residual_mean_mcar_baseline,co2_reactivity_baseline_2_hyper_mcal,0.640869494
mean_mcar_siteo,age_adjusted_mean_mcar_baseline,0.64050075
age_adjusted_mean_mcar_baseline,co2_reactivity_baseline_2_hyper_mcal,0.640147357
hrv_pnn50,hrv_hf,0.638092342
syst_mcar_baseline,age_residual_mean_mcal_baseline,0.635348951
syst_mcar_baseline,co2_reactivity_baseline_2_hyper_mcar,0.634878501
syst_mcar_baseline,age_adjusted_mean_mcal_baseline,0.634833199
sbp_baseline,mbp_hv,0.63329993
diast_mcar_baseline,mean_mcar_siteo,0.630363454
mbp,dbp_tilt,0.630021918
mean_mcar_hv,mean_mcar_siteo,0.629830951
mbp,sbp_tilt,0.624450512
mbp_tilt,mean_bp_standeo,0.624196175
mean_mcar_baseline,age_residual_mean_mcal_baseline,0.622839188
mean_mcar_baseline,co2_reactivity_baseline_2_hyper_mcar,0.622479801
mean_mcar_baseline,age_adjusted_mean_mcal_baseline,0.622418253
syst_mcar_baseline,co2_reactivity_baseline_2_hyper_mcal,0.622199418
mean_mcal_tilt,mean_mcal_standeo,0.620920949
mean_mcar_standeo,age_residual_mean_mcar_baseline,0.620163945
sbp_baseline,mbp_tilt,0.619825877
mean_mcar_standeo,age_adjusted_mean_mcar_baseline,0.619333171
sbp_tilt,24hour_nighttime_sbp,0.619038904
sbp_hv,mbp_supine_rebreathing,0.617430963
diast_mcar_baseline,co2_reactivity_baseline_2_hyper_mcal,0.61699138
mean_mcar_tilt,co2_reactivity_mcar,0.616069088
diast_mcar_baseline,co2_reactivity_mcar,0.615839658
age_residual_mean_mcar_baseline,co2_reactivity_baseline_2_hyper_mcar,0.615475654
age_adjusted_mean_mcar_baseline,co2_reactivity_baseline_2_hyper_mcar,0.614945821
syst_mcar_baseline,mean_mcal_tilt,0.613455452
dbp_baseline,mbp_tilt,0.613060556
sbp_hv,24hour_daytime_sbp,0.611101736
mean_mcar_tilt,mean_mcar_standeo,0.608335253
diast_mcar_baseline,mean_mcal_baseline,0.605042356
diast_mcar_baseline,mean_mcar_standeo,0.604264545
syst_mcar_baseline,mean_mcal_supine_rebreathing,0.604168249
sbp_supine_rebreathing,dbp_supine_rebreathing,0.600015875
mbp,mean_bp_siteo,0.599705984
sbp_tilt,mean_bp_siteo,0.596949478
hrv_lf,hrv_hf,0.596830902
24hour_daytime_sbp,24hour_daytime_dbp,0.596252022
sbp_tilt,mean_bp_standeo,0.595518792
mean_mcar_hv,mean_mcar_standeo,0.595351335
mbp_tilt,dbp_hv,0.594736032
mbp,dbp_supine_rebreathing,0.592585173
mean_mcal_supine_rebreathing,co2_reactivity_mcar,0.592195334
mean_mcal_tilt,co2_reactivity_baseline_2_hyper_mcal,0.591059655
mbp_hv,sbp_supine_rebreathing,0.587249839
mbp,sbp_hv,0.586393308
mean_mcar_baseline,mean_mcal_tilt,0.585956378
sbp_tilt,mbp_hv,0.582517935
co2_supine_rebreathing,o2_hypo_pct,-0.581403199
dbp_hv,mbp_supine_rebreathing,0.581026033
co2_tilt,co2_base,0.577970674
age_adjusted_mean_mcal_baseline,co2_reactivity_mcar,0.577507521
mean_mcal_supine_rebreathing,mean_mcal_standeo,0.576668772
age_residual_mean_mcal_baseline,co2_reactivity_mcar,0.576504329
24hour_daytime_sbp,24hour_nighttime_dbp,0.576322326
mbp_hv,mean_bp_siteo,0.575931942
diast_mcar_baseline,age_residual_mean_mcal_baseline,0.574659582
diast_mcar_baseline,age_adjusted_mean_mcal_baseline,0.574391167
htn_yrs_patient_medical_history,hrv_avnn,0.573354185
co2_baseline,co2_tilt,0.572436022
