,type,description,num_missing,num_unique,min,max,mean,example
gait_walk_1_distance_m,float64,,0,163,75.69,992.55,703.1358070281041,704.7902684401723
o2_base,float64,,0,172,18.3819,19.1298,18.97676310682783,18.95517390193409
hrv_sdnn,float64,,0,171,0.0563968,0.2603721467632471,0.10447206093557647,0.0693215290037273
24hour_mbpdippct,float64,,0,172,-11.235184587165016,19.91547352,6.555990571110789,4.421813286669426
age_adjusted_mean_mcar_baseline,float64,,0,172,1.2766771391170997,91.06553908,45.60577698903974,70.37492339217347
mean_bp_siteo,float64,,0,172,66.44207205,115.7275143,89.64877958946691,91.13186038437912
mean_mcar_supine_rebreathing,float64,,0,172,2.636384817,139.3043224,59.78610761058202,80.68899367791613
sbp_hv,float64,,0,172,88.80316544,185.1939485,126.62001276819535,116.23391778397568
mean_mcar_tilt,float64,,0,172,2.930340564,84.67039072,40.028935054362435,57.43601251217702
baseline_mean_hr_bp_baseline,float64,,0,172,44.36535742,95.798627,67.24184729996574,88.9
age,float64,,0,33,47.0,81.0,66.75,70.0
bmi,float64,,0,164,18.24688209,45.87721124,27.043622968830107,26.7015188
htn_yrs_patient_medical_history,float64,,0,104,-60.62997111000823,2001.0,28.244614746683297,4.0
