Variable,Category,Count (%)
group,CONTROL,88 (51.2%)
group,STROKE,84 (48.8%)
gender,F,96 (55.8%)
gender,M,76 (44.2%)
ethnicity,NON-H/L,124 (72.1%)
ethnicity,NON H/L,44 (25.6%)
ethnicity,UNKNOWN,2 (1.2%)
ethnicity,H/L,2 (1.2%)
race,WHITE,139 (80.8%)
race,AFRICAN AMERICAN,21 (12.2%)
race,ASIAN,5 (2.9%)
race,AA,5 (2.9%)
race,UNKNOWN,1 (0.6%)
race,AMERICAN INDIAN,1 (0.6%)
dm_patient_medical_history,NO,168 (97.7%)
dm_patient_medical_history,YES,4 (2.3%)
24hour_sbpdipper,NO,141 (82.0%)
24hour_sbpdipper,YES,31 (18.0%)
